relative_path,status
docs/FILE_MANIFEST.md,SANITIZED_LOCAL_PATH_REFERENCES
source_data/supplementary_figure_s1/SUPP_FIG_S1_RAW_RESULTS.csv,SANITIZED_LOCAL_PATH_REFERENCES
scripts/aggregation/run_R4_final_seven_model_aggregation.py,SANITIZED_LOCAL_PATH_REFERENCES
scripts/main_experiment/run_R3_one_shot_heldout_evaluation.py,SANITIZED_LOCAL_PATH_REFERENCES
scripts/supplementary_s1/run_supplementary_figure_s1_severity_sweep.py,SANITIZED_LOCAL_PATH_REFERENCES
manifests/model_states/FINAL_R2_FOUR_BASELINE_MODEL_FREEZE_MANIFEST.json,SANITIZED_LOCAL_PATH_REFERENCES
manifests/model_states/FINAL_R4_SEVEN_MODEL_RESULTS_FREEZE_MANIFEST.json,SANITIZED_LOCAL_PATH_REFERENCES
manifests/sessions/session_manifest_summary.json,SANITIZED_LOCAL_PATH_REFERENCES
audit/model_state/R09_SOLVER_AUDIT_REPORT.md,SANITIZED_LOCAL_PATH_REFERENCES
audit/public_release/copied_file_manifest.csv,SANITIZED_LOCAL_PATH_REFERENCES
audit/supplementary_s1/SUPP_FIG_S1_ANCHOR_REPLAY_AUDIT.csv,SANITIZED_LOCAL_PATH_REFERENCES
audit/supplementary_s1/SUPP_FIG_S1_PREFLIGHT_AUDIT.csv,SANITIZED_LOCAL_PATH_REFERENCES
audit/supplementary_s1/SUPP_FIG_S1_SHA256SUMS.csv,SANITIZED_LOCAL_PATH_REFERENCES
